Area,Crime_Type,Number_of_Crimes,Latitude,Longitude
Electronic City,Kidnapping,1,12.844168962290654,77.65663559993057
Whitefield,Cyber Crime,6,12.971678265905103,77.74772176913076
Jayanagar,Murder,9,12.923540583247592,77.59664487280479
Banashankari,Murder,7,12.916390999641283,77.57169697681327
Vijayanagar,Eve-Teasing,1,12.969463051183569,77.56015840257245
KR Puram,Chain Snatching,10,13.01442100031418,77.69613537335431
Basavanagudi,Chain Snatching,2,12.945287964461563,77.56973151418082
Marathahalli,Cyber Crime,10,12.951240555918652,77.70362988588894
Ulsoor,Assault,2,12.985516012965101,77.62743085989925
HSR Layout,Cyber Crime,4,12.90837166840555,77.64173952734446
BTM Layout,Eve-Teasing,9,12.911972982604684,77.61302147526902
Hebbal,Kidnapping,10,13.032725510513968,77.58627903528381
Indiranagar,Burglary,5,12.97365694248567,77.64412962337389
Electronic City,Eve-Teasing,9,12.845603471669207,77.65714289502986
Frazer Town,Burglary,9,12.998081135027999,77.62560248441086
Frazer Town,Eve-Teasing,8,13.000242025430529,77.62966799973152
Electronic City,Theft,2,12.847173420867799,77.66193593610237
Electronic City,Pickpocket,2,12.846631082591843,77.66136153861108
Ulsoor,Kidnapping,8,12.986338572579735,77.6240853303519
Electronic City,Chain Snatching,9,12.843918504788899,77.66359554761382
BTM Layout,Kidnapping,1,12.912798177352816,77.60806708116857
BTM Layout,Eve-Teasing,3,12.915152207811648,77.61456087377677
Frazer Town,Assault,10,12.994360811193207,77.6296748025514
Yeshwanthpur,Pickpocket,7,13.012872692088756,77.55930086660479
Indiranagar,Assault,10,12.970082611853243,77.64047802255357
Basavanagudi,Pickpocket,7,12.943032810918972,77.57228506958616
Yeshwanthpur,Kidnapping,7,13.017903593664292,77.55702359026897
KR Puram,Cyber Crime,10,13.013839918085049,77.69500299564211
Rajajinagar,Eve-Teasing,3,12.98731763309939,77.55253860151643
Whitefield,Cyber Crime,5,12.97067718913563,77.74961230883791
Ulsoor,Kidnapping,5,12.98264877127069,77.63034129111965
Banashankari,Theft,7,12.912425086935505,77.57733521822644
KR Puram,Molestation,3,13.012793529226778,77.69258004173325
Indiranagar,Molestation,4,12.96680316022569,77.63855264576044
Jayanagar,Molestation,3,12.929821515272591,77.59501443562442
Basavanagudi,Kidnapping,9,12.937575295657703,77.57088012098299
Basavanagudi,Pickpocket,9,12.943915088178768,77.57464623354642
MG Road,Eve-Teasing,10,12.97882056925204,77.60780719261999
Hebbal,Theft,6,13.033208829454242,77.59492489932305
BTM Layout,Burglary,6,12.91494833044848,77.60562831903223
Vijayanagar,Theft,2,12.976656298721055,77.5602135877877
Vijayanagar,Theft,6,12.97241914325214,77.5559485068704
KR Puram,Murder,7,13.006560899884771,77.69563712079237
Hebbal,Cyber Crime,8,13.037802780694411,77.58777092665069
Vijayanagar,Assault,2,12.975232210203773,77.5611098762516
Bellandur,Molestation,4,12.922162065294108,77.68725499737339
Ulsoor,Eve-Teasing,3,12.987167733612434,77.62757235591138
Bellandur,Burglary,2,12.928114810930138,77.68800089602108
Frazer Town,Assault,5,12.993793057338804,77.62589454110015
Whitefield,Chain Snatching,10,12.97412358141561,77.75181085629033
Rajajinagar,Theft,7,12.991156739124474,77.55408955868451
Marathahalli,Burglary,10,12.956295460005753,77.70487394874468
Malleshwaram,Kidnapping,1,13.00635785912716,77.56940680987888
MG Road,Assault,1,12.973671915512215,77.60472594256383
